consent,code,village,n_villageHH,VSLA,name_VSLA,n_VSLA,Sex,head_HH,HH_members,Female_illiterate,Female_notfinished_primary,Female_finished_primary,Female_graduate_lower_secondary,Female_graduate_upper_secondary,Female_vocational,Female_Uni,Female_postgraduate,Male_illiterate,Male_notfinished_primary,Male_finished_primary,Male_graduate_lower_secondary,Male_graduate_upper_secondary,Male_vocational,Male_Uni,Male_postgraduate,EM,Em_Thai,EM_Mong,EM_Kho_Mu,EM_Kinh,EM_others,read_wife,read_hus,read_fiw,read_mil,read_chil,poor,near_poor,non_poor,migration,agriculture,government_staff,small_business,tech_worker,manual_worker,weak_nowork,other_work,rice_area,ave_rice,rice_main_income,drought,hot_spell,erratic_rain,prolong_rain,early_rain_season,hailstones,flood,flashflood_landslide,cold_spell,frost,thunder_storm,no_risk,risk,risk_impact,need,access,confirm_need1,project_drive,read_listen,read_listen_others,total_readlisten,discuss,discuss_others,total_discuss,understand,understand_others,total_understand,posperception,posperception_others,total_posperception,intention,intention_others,total_intention,int_adopt,noint_adopt,total_adopt,seed_adopt,seed_type,seed_amount,sow_time,sow_technique,disadopt_seedtype,disadopt_seedamount,disadopt_sowingtime,disadopt_sowingtechnique,disadopt_seed_no,disadopt_seed_reasons,fer_adopt,fer_type,fer_rate,fer_time_weather,fer_place,fer_type_disadopt,fer_rate_disadopt,fer_time_weather_disadopt,fer_place_disadopt,no_fer_disadopt,disadopt_fer_reasons,protect_adopt,pesticide_type,pesticide_rate,pesticide_time_weather,pesticide_place,pesticide_type_disadopt,pesticide_rate_disadopt,pesticide_time_weather_disadopt,pesticide_place_disadopt,no_pesticide_disadopt,disadopt_pesticide_reasons,water_adopt,water_plant_stage,water_clear_canal,water_coordination,water_saving,water_pumping,water_drought_tolerant_variety,water_plant_stage_disadopt,water_canal_disadopt,water_coordination_disadopt,water_saving_disadopt,water_pumping_disadopt,water_drought_tolerant_variety_disadopt,no_water_disadopt ,disadopt_water management_reasons,implement_seed,wife_seed,husband_seed,mother_seed,father_seed,others_seed,implement_fertilizer,wife_fertilizer,husband_fertilizer,mother_fertilizer,father_fertilizer,others_fertilizer,implement_plant_protection,wife_plant_protection,husband_plant_protection,mother_plant_protection,father_plant_protection,others_plant_protection,implement_water,wife_water,husband_water,mother_water,father_water,others_water,recommend,n_recommend,close_friends,neighbors,neighboring_farms,relatives,others_recommended,imitate,year_know,start_adopt,early_adopter,confirm_need2,Thai,Mong,KhoMu,Kinh,other_language
Yes,43,Long Luong 1,54,0,,,1,0,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Mông,0,1,0,0,0,,,,,1,0,0,1,1,1,0,0,0,0,0,0,2000,500,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,0,,0,,0,0,,0,0,,1,1,1,,1,1,,1,1,0,0,1,0,0,0,0,0,1,Follow our routines,0,,,,,,,,,,,1,0,0,1,1,1,1,0,0,0,I am not sure if it is the right pesticide,1,1,1,0,0,0,1,0,0,0,0,0,0,1,,Wife Husband,1,1,0,0,0,Wife  Husband,1,1,0,0,0,Wife  Husband,1,1,0,0,0,Wife  Husband,1,1,0,0,0,0,0,,,,,,0,2017,2019,0,1,0,1,0,0,0
Yes,25,Ha,56,1,Bình minh,30,1,0,4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Thái ,1,0,0,0,0,1,1,,,1,0,0,1,0,1,0,0,0,0,0,0,2000,500,1,1,0,0,0,0,0,0,1,1,0,0,0,1,1,,1,1,0,0,,0,,1,1,0,,0,,1,1,1,,1,1,,1,1,1,1,1,0,0,0,0,0,1,,,,,,,1,1,1,0,0,,1,1,1,1,0,1,1,1,0,0,,1,1,0,1,0,0,0,0,0,0,0,0,0,1,,Wife Husband,1,1,0,0,0,Wife  Husband,1,1,0,0,0,Wife  Husband,1,1,0,0,0,Wife  Husband,1,1,0,0,0,0,0,,,,,,0,2018,2018,1,1,1,0,0,0,0
Yes,61,Khau Cam,30,0,,,1,0,4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Thái ,1,0,0,0,0,1,1,,,1,0,0,1,1,1,0,0,0,0,0,0,3000,750,1,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,1,0,1,,1,0,,0,,0,0,,1,1,1,,1,1,,1,1,1,1,1,0,0,0,0,0,1,,1,1,1,1,0,0,0,0,0,1,,1,1,1,1,0,0,0,0,0,1,,1,1,1,1,0,0,1,0,0,0,0,0,0,1,,Husband,0,1,0,0,0,Wife  Husband,1,1,0,0,0,Wife  Husband,1,1,0,0,0,Wife  Husband,1,1,0,0,0,0,0,,,,,,0,2019,2019,0,1,1,0,0,0,0
Yes,4,Cang 2,73,1,Hoa Phuong,18,1,0,4,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,Thái ,1,0,0,0,0,1,1,,,1,0,0,1,0,1,0,0,0,0,0,0,1000,250,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,1,1,0,1,,1,1,,1,1,,1,1,,1,1,,1,1,,1,1,0,0,1,1,0,1,0,0,0,Afraid that the seeds would not germinate,0,,,,,1,0,1,1,0,Afraid that rice would not grow well and we add more ferilizers,1,0,0,1,1,1,1,0,0,0,Do not have money to apply plant protection measures,1,1,1,1,0,0,0,0,0,0,0,1,1,0,,Wife,1,0,0,0,0,Wife ,1,0,0,0,0,Wife ,1,0,0,0,0,Wife ,1,0,0,0,0,1,>5,1,1,1,1,0,3,2018,2018,0,1,1,0,0,0,0
Yes,38,Dong Met 1,81,1,Hanh Phúc,21,1,0,7,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Thái ,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,3000,429,1,1,0,0,0,0,1,0,0,0,1,0,0,1,1,1,1,1,0,1,,1,1,,1,1,,1,1,,1,1,,1,1,,1,1,1,1,1,1,0,0,0,0,1,,1,1,1,1,1,0,0,0,0,1,,1,1,1,1,1,0,0,0,0,1,,1,1,1,1,0,0,0,0,0,1,0,0,0,0,,Wife Husband,1,1,0,0,0,Wife  Husband,1,1,0,0,0,Wife  Husband,1,1,0,0,0,Wife  Husband,1,1,0,0,0,1,5,0,1,0,0,0,5,2016,2018,1,1,1,0,0,0,0
Yes,48,Cang 2,73,0,,,1,0,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,Thái ,1,0,0,0,0,1,1,,,0,0,0,1,1,1,0,0,0,0,0,0,800,267,1,0,0,0,1,0,1,1,0,0,1,0,0,1,0,1,1,1,0,1,,1,1,,1,1,,1,1,,1,1,,1,1,,1,1,1,1,1,1,0,0,0,0,1,,1,1,1,1,1,0,1,0,0,0,Afraid that rice would not grow well and we add more ferilizers,1,1,1,1,1,0,0,0,0,1,,1,1,1,1,1,0,1,0,0,0,0,1,0,0,,Wife Husband,1,1,0,0,0,Wife ,1,0,0,0,0,Wife ,1,0,0,0,0,Wife ,1,0,0,0,0,1,>5,1,1,0,1,0,>5,2019,2019,1,1,1,0,0,1,0
Yes,36,Dong Met 2,76,1,Ban mai,13,1,0,6,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,Thái ,1,0,0,0,0,1,1,1,0,1,0,0,1,1,1,0,0,0,0,0,0,5000,833,1,1,1,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1,0,1,,1,1,,1,1,,1,1,,1,1,,1,1,,1,1,1,1,1,1,0,0,0,0,1,,1,1,1,1,1,0,0,0,0,1,,1,1,1,1,1,0,0,0,0,1,,1,1,1,1,0,1,0,0,0,1,0,0,0,0,,Wife Husband,1,1,0,0,0,Wife  Husband,1,1,0,0,0,Wife  Husband,1,1,0,0,0,Wife  Husband,1,1,0,0,0,1,5,0,1,0,1,0,5,2017,2019,1,1,1,0,0,0,0
Yes,66,Co Thon,44,0,,,1,0,4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Thái ,1,0,0,0,0,1,1,,,1,0,0,1,0,1,0,0,0,0,0,0,1000,250,1,0,0,0,0,0,0,1,0,1,1,0,0,1,1,1,1,1,0,1,,1,1,,1,0,,0,,1,1,1,,1,1,,1,1,1,1,0,0,,,,,,,1,1,1,1,0,0,0,0,0,1,,1,1,1,1,0,0,0,0,0,1,,1,1,1,1,0,0,1,0,0,0,0,0,0,1,,Wife,1,0,0,0,0,Wife  Husband,1,1,0,0,0,Wife ,1,0,0,0,0,Husband,0,1,0,0,0,1,3,0,1,0,1,0,3,2018,2018,1,1,1,0,0,0,0
Yes,45,Long Nghiu,43,0,,,1,0,8,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,Mông,0,1,0,0,0,1,1,,,,0,0,1,0,1,0,0,0,0,0,0,2000,250,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,,,1,1,0,,0,,0,0,,1,1,0,,0,,1,1,1,0,0,1,0,0,0,0,0,1,,1,1,1,1,1,0,0,0,0,1,,1,1,1,1,1,0,0,0,0,1,,1,0,0,0,0,1,0,0,0,0,0,0,0,1,,Husband Father in law,0,1,0,1,0,Husband Father in law,0,1,0,1,0,Husband Father in law,0,1,0,1,0,Husband,0,1,0,0,0,1,2,0,1,0,1,0,2,2018,2019,1,1,0,1,0,0,0
Yes,22,Yên1,63,1,Bình yên,40,1,0,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Thái ,1,0,0,0,0,1,1,,,,0,0,1,1,1,0,0,0,0,0,0,2000,667,1,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1,1,1,0,1,,1,1,,1,1,,1,1,,1,1,,1,1,,1,1,1,1,1,0,,,,,,,1,1,1,1,0,0,0,0,0,1,,1,1,1,1,0,0,0,0,0,1,,1,1,0,1,0,1,1,0,0,0,0,0,0,1,,Wife Husband,1,1,0,0,0,Wife  Husband,1,1,0,0,0,Wife  Husband,1,1,0,0,0,Wife  Husband,1,1,0,0,0,1,2,0,1,0,1,0,2,2018,2018,1,1,1,0,0,0,0
